ret_mean,ret_std,n
4.199799934916371e-05,4.0289156675769025e-05,10
4.749602710052425e-05,3.7581570270932376e-05,10
4.334591220997996e-05,3.868699835785678e-05,10
4.3336263045867796e-05,3.869899420481242e-05,10
4.3336263045867796e-05,3.869899420481242e-05,10
3.74695718317275e-05,4.0520682794574114e-05,10
3.74695718317275e-05,4.0520682794574114e-05,10
3.386806075569293e-05,3.509060486277605e-05,10
2.172267655263793e-05,3.2850856509992284e-05,10
2.4470428756451222e-05,3.5917279284891866e-05,10
1.8354704592982162e-05,3.4139122856963304e-05,10
1.4717948097586752e-05,3.1650331546910935e-05,10
1.3743704557767079e-05,3.177231192712637e-05,10
2.563433391246095e-05,4.538933831024728e-05,10
3.342548253123523e-05,4.715281292075551e-05,10
3.94805074739879e-05,4.6262952208263416e-05,10
3.9490148649690135e-05,4.625381944437235e-05,10
3.259398605072183e-05,4.651173758262196e-05,10
3.532332792248738e-05,4.329671427467506e-05,10
3.3199749003332005e-05,4.182816348872445e-05,10
3.3199749003332005e-05,4.182816348872445e-05,10
3.1338477747366865e-05,4.2948490779779585e-05,10
3.076949565743448e-05,4.336033498412956e-05,10
2.261945421710987e-05,3.079102058536374e-05,10
1.3835351619051472e-05,2.5305700203886452e-05,10
7.780326676298798e-06,1.9453386371511372e-05,10
7.770685500596564e-06,1.945764110704269e-05,10
7.770685500596564e-06,1.945764110704269e-05,10
7.770685500596564e-06,1.945764110704269e-05,10
2.7572746265080994e-06,1.256882923763481e-05,10
2.747634200894744e-06,1.25712158258663e-05,10
2.757274627440687e-06,1.2568911396134795e-05,10
2.7476339360177348e-06,1.2571215887934856e-05,10
-9.929539783515295e-07,3.1403250367751482e-06,10
-9.640424680767978e-09,5.4723512839496515e-08,10
1.865174681370263e-15,6.426950719559558e-08,10
-9.640423748180637e-09,7.113330904146487e-08,10
-3.325947157062359e-06,1.0483936172033116e-05,10
-7.770331186163216e-06,1.657075729589514e-05,10
-1.2147424526243178e-05,1.976356307347004e-05,10
-7.558025630349796e-06,2.6909636875576175e-05,10
-3.518380856948333e-06,3.091972807123503e-05,10
-3.518380856948333e-06,3.091972807123503e-05,10
-1.1192429682227445e-05,3.8534910593293606e-05,10
-8.11679074622651e-06,4.068628120471629e-05,10
-5.291915682581472e-06,4.2269740978254935e-05,10
-3.4987021198085165e-06,4.289045165921354e-05,10
-1.965936712888805e-06,4.197670070246097e-05,10
8.773978443554763e-06,4.36085223434448e-05,10
1.3151071783634728e-05,3.9776814107282516e-05,10
6.382958637951575e-06,3.936059874135078e-05,10
3.644786869272387e-06,3.763880721325074e-05,10
-1.3013847726184303e-05,6.577771601828728e-05,10
-5.349440920676685e-06,6.187686268853723e-05,10
-1.2792916827752964e-05,6.153995030049542e-05,10
-2.72851456550538e-05,6.754674516456461e-05,10
-2.90687187922134e-05,6.644951244645747e-05,10
-2.497072138276657e-05,6.845269488043024e-05,10
-3.126625251010928e-05,6.206462180081503e-05,10
-3.126625251010928e-05,6.206462180081503e-05,10
-2.9077897834706158e-05,6.281348928938665e-05,10
-3.130512892903781e-05,6.153315790592797e-05,10
-2.1936929051791233e-05,4.29842623485491e-05,10
-1.4713473852812075e-05,5.215377634403852e-05,10
-1.7558932721484233e-05,5.463281413317268e-05,10
-1.0279657217537875e-05,4.373657360954495e-05,10
-1.0289301776023052e-05,4.373406548726469e-05,10
-1.7811819939173025e-05,4.381377857643257e-05,10
-2.8855415618178613e-05,5.198203159737453e-05,10
-2.8855415618178613e-05,5.198203159737453e-05,10
-2.8845769491170346e-05,5.198798976183671e-05,10
-2.7939297954182595e-05,5.244635601838015e-05,10
-2.8317534207056293e-05,5.281898460332233e-05,10
-3.5531347386263956e-05,4.1229381536751684e-05,10
-1.0249476482282471e-05,7.7651956479039e-05,10
-5.871038649118976e-06,7.678048945802826e-05,10
-3.392242093880338e-06,7.738537888978868e-05,10
-9.034677709229832e-06,8.31706610966331e-05,10
3.3400567889252386e-06,7.52344605795573e-05,10
3.3400567889252386e-06,7.52344605795573e-05,10
-6.52760212282999e-06,8.188441225200867e-05,10
2.0097763528514888e-06,8.692489044600108e-05,10
1.1279672280317676e-05,8.242643308742016e-05,10
1.0999944688694363e-05,8.247369872480994e-05,10
-7.049344143927882e-06,5.7074757420095416e-05,10
-3.1331472842177634e-06,5.8925732546254324e-05,10
-6.287124622061935e-06,5.8109371763176743e-05,10
5.248203104357696e-06,4.568455121267183e-05,10
8.537223980675801e-06,4.747829083602362e-05,10
8.971248158318179e-06,4.741136713542346e-05,10
1.8819616003207252e-05,2.9393046738248537e-05,10
1.0291883653601453e-05,1.8214431519019616e-05,10
8.690658697219078e-06,1.835892368375213e-05,10
1.1574520303359036e-05,1.861706993542344e-05,10
1.1564874497360656e-05,1.862370148731738e-05,10
7.648677637650537e-06,1.6125759429999988e-05,10
1.845078240468867e-05,3.284662296329085e-05,10
2.215384222205019e-05,3.347461847308783e-05,10
1.4602122118700933e-05,3.587861536860261e-05,10
1.7099744291915186e-05,3.595413723078352e-05,10
1.0889466655827906e-05,4.376863659781441e-05,10
